study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,corrected_resolved_url,resolved_url_for_cleaning,resolved_url_cleaned,review_coding,review_note
a000417,steve,2020-11-04,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.1016/j.jrp.2018.02.003,yes,NA,https://www.sciencedirect.com/science/article/pii/S0092656618300151,no,NA,NA,no,NA,NA,NA,A number of strange problems with this article - journal misnamed in body of text when referring to data availability - supplementary material is not raw data just summary tables - incomplete acknowledgement template in footnote,NA,https://doi.org/10.1016/j.jrp.2018.02.003,doi.org/10.1016/j.jrp.2018.02.003,https://www.sciencedirect.com/science/article/pii/S0092656618300151,https://www.sciencedirect.com/science/article/pii/S0092656618300151,www.sciencedirect.com/science/article/pii/S0092656618300151,FALSE,"iter01: steve coded, simply no files found (odd case)"
a000493,steve,2020-09-02,yes,NA,yes,NA,other,Article has a link (which is almost certainly incorrect) but also a separate accession number for the raw data with no hyperlink,2,1,https://www.iris-database.org/iris/app/home/detail?id=york:934328,other,Embedded link had a problem so clicking directly resulted in an error but url as written in text was OK - minor edit required to replace the hyphen in the url text,https://www.iris-database.org/iris/app/home/detail?id=york:934328,yes,NA,IRIS,other,Registration form required before data can be downloaded,yes,NA,Link works but is likely irrelevant - need to register/agree to download data,https://www.iris-database.org/iris/app/home/detail?id=york:934328,https://www.iris-database.org/iris/app/home/detail?id=york:934328,iris-database.org/iris/app/home/detail?id=york:934328,NA,https://www.iris-database.org/iris/app/home/detail?id=york:934328,www.iris-database.org/iris/app/home/detail?id=york:934328,FALSE,"iter01: steve coded, IRIS repo requires declaration but no account"
a000501,steve,2020-09-02,yes,NA,yes,NA,yes,NA,1,1,https://www.iris-database.org/iris/app/home/search?query=Jung+in+press,other,"Link works, but is a search of the IRIS archive which returns no results. Searching the IRIS archive more carefully finds the correct links.","https://www.iris-database.org/iris/app/home/detail?id=york:935306, https://www.iris-database.org/iris/app/home/detail?id=york:935307, https://www.iris-database.org/iris/app/home/detail?id=york:935308, https://www.iris-database.org/iris/app/home/detail?id=york:935309, https://www.iris-database.org/iris/app/home/detail?id=york:935310, https://www.iris-database.org/iris/app/home/detail?id=york:935311, https://www.iris-database.org/iris/app/home/detail?id=york:935313",yes,NA,IRIS,other,Registration form required before data can be downloaded,yes,NA,"There are seven data sets associated with this article on IRIS, but no indication of this in article or elsewhere",https://www.iris-database.org/iris/app/home/search?query=Jung+in+press,https://www.iris-database.org/iris/app/home/search?query=Jung+in+press,iris-database.org/iris/app/home/search?query=Jung+in+press,"https://www.iris-database.org/iris/app/home/detail?id=york:935306, https://www.iris-database.org/iris/app/home/detail?id=york:935307, https://www.iris-database.org/iris/app/home/detail?id=york:935308, https://www.iris-database.org/iris/app/home/detail?id=york:935309, https://www.iris-database.org/iris/app/home/detail?id=york:935310, https://www.iris-database.org/iris/app/home/detail?id=york:935311, https://www.iris-database.org/iris/app/home/detail?id=york:935313","https://www.iris-database.org/iris/app/home/detail?id=york:935306, https://www.iris-database.org/iris/app/home/detail?id=york:935307, https://www.iris-database.org/iris/app/home/detail?id=york:935308, https://www.iris-database.org/iris/app/home/detail?id=york:935309, https://www.iris-database.org/iris/app/home/detail?id=york:935310, https://www.iris-database.org/iris/app/home/detail?id=york:935311, https://www.iris-database.org/iris/app/home/detail?id=york:935313","www.iris-database.org/iris/app/home/detail?id=york:935306, https://www.iris-database.org/iris/app/home/detail?id=york:935307, https://www.iris-database.org/iris/app/home/detail?id=york:935308, https://www.iris-database.org/iris/app/home/detail?id=york:935309, https://www.iris-database.org/iris/app/home/detail?id=york:935310, https://www.iris-database.org/iris/app/home/detail?id=york:935311, https://www.iris-database.org/iris/app/home/detail?id=york:935313",FALSE,"iter01: steve coded, IRIS repo requires declaration but no account"
a000518,steve,2020-09-01,yes,NA,yes,NA,yes,NA,1,1,https://iris-database.org,other,"link works, but is to the generic homepage. Searching required to find actual data",https://iris-database.org/iris/app/home/detail?id=york:934567,yes,NA,IRIS,other,Registration form required before data can be downloaded,yes,NA,"Link was to home page of repository, had to search and then complete info form to download data",NA,https://iris-database.org,iris-database.org,https://iris-database.org/iris/app/home/detail?id=york:934567,https://iris-database.org/iris/app/home/detail?id=york:934567,iris-database.org/iris/app/home/detail?id=york:934567,FALSE,"iter01: steve coded, IRIS repo requires declaration but no account"
a000532,steve,2020-08-09,yes,NA,yes,NA,other,Article mentions that data is available as supporting materials,1,1,https://doi.org/10.1002/jnr.24485,yes,NA,https://onlinelibrary.wiley.com/doi/full/10.1002/jnr.24485,no,NA,NA,other,"Files exist, and mentions that data have been provided as supplementary files, but all files are images or Word documents - not the kind of data files expected for a study like this",yes,NA,The open peer review shows that editors recommended data be shared as supplemental files on website - still not clear if that actually happened though,NA,https://doi.org/10.1002/jnr.24485,doi.org/10.1002/jnr.24485,https://onlinelibrary.wiley.com/doi/full/10.1002/jnr.24485,https://onlinelibrary.wiley.com/doi/full/10.1002/jnr.24485,onlinelibrary.wiley.com/doi/full/10.1002/jnr.24485,FALSE,"iter01: steve coded, issue is that supplied files are not data"
a000581,steve,2020-11-04,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/n8v3c/,yes,NA,https://osf.io/n8v3c/,yes,NA,OSF,other,OSF account with access required,no,NA,"This OSF project not made public. Coding updated to clarify the resolved_url (use url when logged in, which returns the permission needed message, rather than the login redirection url).",https://osf.io/n8v3c/,https://osf.io/n8v3c/,osf.io/n8v3c,https://osf.io/n8v3c/,https://osf.io/n8v3c/,osf.io/n8v3c,FALSE,"iter01: steve coded, issue is a non-public OSF project"
a000581,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,2,1,http://reshare.ukdataservice.ac.uk/852882/,yes,NA,http://reshare.ukdataservice.ac.uk/852882/,yes,NA,ReShare,other,Require login,no,NA,Study 1 and 2 data. Could not access as login required,http://reshare.ukdataservice.ac.uk/852882/,http://reshare.ukdataservice.ac.uk/852882/,reshare.ukdataservice.ac.uk/852882,NA,http://reshare.ukdataservice.ac.uk/852882/,reshare.ukdataservice.ac.uk/852882,FALSE,"iter01: steve coded, issue is that account registration required"
a000581,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,1,http://reshare.ukdataservice.ac.uk/852882/,yes,NA,https://reshare.ukdataservice.ac.uk/852882/,yes,NA,ReShare,other,Registration with ReShare required,partial,Was able to download documentation and readme files but not actual data files,"Registration required - ""safeguarded data""",http://reshare.ukdataservice.ac.uk/852882/,http://reshare.ukdataservice.ac.uk/852882/,reshare.ukdataservice.ac.uk/852882,NA,https://reshare.ukdataservice.ac.uk/852882/,reshare.ukdataservice.ac.uk/852882,FALSE,"iter01: steve coded, issue is that account registration required"
a000655,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://db.humanconnectome.org/,yes,NA,https://db.humanconnectome.org/app/template/Login.vm,yes,NA,Connectome db,other,Require login,no,NA,Could not access as login needed,NA,https://db.humanconnectome.org/,db.humanconnectome.org,NA,https://db.humanconnectome.org/app/template/Login.vm,db.humanconnectome.org/app/template/Login.vm,FALSE,"iter01: others coded, but they have coded exactly the same way I would have, so OK"
a000655,michelle,2020-04-23,yes,NA,yes,NA,yes,NA,1,1,https://db.humanconnectome.org,yes,NA,https://db.humanconnectome.org/app/template/Login.vm,yes,NA,CONNECT TO ME DB,other,Link directs to log in screen - seems as if login is required to access data,no,NA,"Login seems to be required to access data, but there was a supplementary data link: https://doi.org/10.1016/j.cortex.2019.04.015.",NA,https://db.humanconnectome.org,db.humanconnectome.org,NA,https://db.humanconnectome.org/app/template/Login.vm,db.humanconnectome.org/app/template/Login.vm,FALSE,"iter01: others coded, but they have coded exactly the same way I would have, so OK"
a000688,steve,2020-09-02,yes,NA,yes,NA,yes,NA,1,1,https://iris-database.org,other,"link works, but is to the generic homepage. Searching required to find actual data",https://iris-database.org/iris/app/home/detail?id=york:936142,yes,NA,IRIS,other,Registration form required before data can be downloaded,yes,NA,"Article just links to the IRIS homepage, searching required to find data/materials",NA,https://iris-database.org,iris-database.org,https://iris-database.org/iris/app/home/detail?id=york:936142,https://iris-database.org/iris/app/home/detail?id=york:936142,iris-database.org/iris/app/home/detail?id=york:936142,FALSE,"iter01: steve coded, IRIS repo requires declaration but no account"
