article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
a000171,andy,2020-08-04,yes,,yes,,yes,,8,5,https://doi.org/10.6092/SNAP.6bbca96b0a7b0a5c3b0be4b4312f837c,yes,,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.6bbca96b0a7b0a5c3b0be4b4312f837c,yes,,SNAP,yes,,partial,"Over 30 files, downloaded first",
a000171,andy,2020-08-04,yes,,yes,,yes,,8,6,https://doi.org/10.6092/SNAP.93d8a7ad5841c7380c9656779ae3425d,yes,,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.93d8a7ad5841c7380c9656779ae3425d,yes,,SNAP,yes,,partial,"Over 30 files, downloaded first",
a000171,andy,2020-08-04,yes,,yes,,yes,,8,7,https://doi.org/10.6092/SNAP.4a66da6e800423b1a51babcd917805c1,yes,,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.4a66da6e800423b1a51babcd917805c1,yes,,SNAP,yes,,partial,"Over 30 files, downloaded first",
a000171,andy,2020-08-04,yes,,yes,,yes,,8,8,https://doi.org/10.6092/SNAP.b2f9e5768dcc2aa0922f24967920d9ab,yes,,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.b2f9e5768dcc2aa0922f24967920d9ab,yes,,SNAP,yes,,partial,"Over 30 files, downloaded first",
a000210,andy,2020-08-05,yes,,yes,,yes,,1,1,https://doi.pangaea.de/10.1594/PANGAEA.885886,yes,,https://doi.pangaea.de/10.1594/PANGAEA.885886,yes,,PANGAEA,yes,,yes,,No issues
a000227,andy,2020-08-05,yes,,yes,,yes,,3,1,https://doi.org/10.23684/odi-2017-00957,yes,,https://open.canada.ca/data/en/dataset/e7484a20-99fa-4989-945b-3031d670d285,yes,,Open Government Canada,yes,,yes,,No issues
a000227,andy,2020-08-05,yes,,yes,,yes,,3,2,https://doi.org/10.23684/odi-2017-00959,yes,,https://open.canada.ca/data/en/dataset/c1a63ce9-6b76-414b-937e-135fae08cea2,yes,,Open Government Canada,yes,,yes,,No issues
a000227,andy,2020-08-05,yes,,yes,,yes,,3,3,https://doi.org/10.23684/odi-2017-00958,yes,,https://open.canada.ca/data/en/dataset/150566dc-7f3b-4ba7-b65a-16f35b947a57,yes,,Open Government Canada,yes,,yes,,No issues
a000269,andy,2020-08-05,yes,,yes,,yes,,1,1,https://doi.org/10.24414/ j0dx-9n36,yes,,https://www.astro.oma.be/doi/Seis_Grav/Gravity_DB.html,yes,,Royal Observatory of Belgium,yes,,yes,,No issues
a000270,andy,2020-08-05,yes,,yes,,yes,,1,1,http://dx.doi.org/10.5284/1031492,yes,,https://archaeologydataservice.ac.uk/archives/view/romurbital_mc_2015/,yes,,Archaeology Data Service,yes,,yes,,No issues
a000359,andy,2020-08-05,yes,,yes,,yes,,1,1,https://doi.org/10.5284/1011888,yes,,https://archaeologydataservice.ac.uk/archives/view/t5_framework_2011/,yes,,Archaeology Data Service,yes,,partial,"Hundreds of files organised into seven sections, downloaded one file from each section",
a000394,andy,2020-08-05,yes,,yes,,yes,,1,1,https://osf.io/sr9f4/,yes,,https://osf.io/sr9f4/,yes,,OSF,yes,,yes,,No issues
a000395,andy,2020-08-07,yes,,yes,,yes,,1,1,https://doi.org/10.17863/CAM.31530,yes,,https://www.repository.cam.ac.uk/handle/1810/284168,yes,,Apollo (University of Cambridge),yes,,yes,,No issues
a000398,andy,2020-08-07,yes,,yes,,yes,,1,1,https://doi.org/10.1594/PANGAEA.885879,yes,,https://doi.pangaea.de/10.1594/PANGAEA.885879,yes,,PANGAEA,yes,,yes,,No issues
a000418,andy,2020-08-07,yes,,yes,,yes,,1,1,http://dx.doi.org/10.5284/1019856,yes,,https://archaeologydataservice.ac.uk/archives/view/scarr_eh_2013/,yes,,Archaeology Data Service,yes,,yes,,Unclear (to me at least) what the data actually consists of
a000420,andy,2020-08-07,yes,,yes,,yes,,1,1,https://catalogue.ceda.ac.uk/uuid/1d29816cee7e4fb586b80a3f7debcb8e,yes,,https://catalogue.ceda.ac.uk/uuid/1d29816cee7e4fb586b80a3f7debcb8e,yes,,The CEDA Archive,yes,,yes,,No issues
a000426,andy,2020-08-07,yes,,yes,,yes,,1,1,http://catalogue.ceda.ac.uk/uuid/4dc84 50d88 9a491 ebb20 e724d ebe2dfb,yes,,https://catalogue.ceda.ac.uk/uuid/4dc8450d889a491ebb20e724debe2dfb,yes,,The CEDA Archive,yes,,other,Account required for access,
a000443,andy,2020-08-07,yes,,yes,,yes,,1,1,https://dx.doi.org/10.7289/V5QJ7F8R,yes,,https://data.nodc.noaa.gov/cgi-bin/iso?id=gov.noaa.nodc:COAPS-SAMOS,yes,,NCEI (NOAA),yes,,partial,"Ongoing project with hundreds of files, downloaded a sample to check",
a000494,andy,2020-08-07,yes,,yes,,no,,,,,,,,,,,,,,,No links to data
a000527,andy,2020-08-07,yes,,yes,,yes,,1,1,https://doi.org/10.5285/7925d ed722 d743f a8259 a93ac c7073f2,yes,,https://catalogue.ceda.ac.uk/uuid/7925ded722d743fa8259a93acc7073f2,yes,,The CEDA Archive,yes,,other,Some files timed out,
a000618,andy,2020-08-07,yes,,yes,,yes,,1,1,http://dx.doi.org/10.6084/m9.figshare.1275172,yes,,https://figshare.com/articles/UAV_Aerial_Survey_Blackquarries_Hill_Long_Barrow_ST77509320_/1275172,yes,,figshare,yes,,partial,Over 100MB of data files,
a000681,andy,2020-08-07,yes,,yes,,yes,,1,1,https://doi.org/10.5281/zenodo.3371710,yes,,https://zenodo.org/record/3371710#.Xy1cjGovPUo,yes,,Zenodo,yes,,partial,Over 100MB of data files,
a000683,andy,2020-08-25,yes,,yes,,yes,,1,1,http://archaeologydataservice.ac.uk/archives/view/urubici_na_2015/,yes,,https://archaeologydataservice.ac.uk/archives/view/urubici_na_2015/,yes,,Archaeology Data Service,yes,,partial,Over 100MB of data files,No issues
a000686,andy,2020-08-25,yes,,yes,,yes,,4,1,https://doi.org/10.5281/zenodo.3548752,yes,,https://zenodo.org/record/3548752#.X0Rba9MvOqA,yes,,Zenodo,yes,,yes,,No issues
a000686,andy,2020-08-25,yes,,yes,,yes,,4,2,https://doi.org/10.5281/zenodo.3548883,yes,,https://zenodo.org/record/3548883#.X0Rbh9MvOqA,yes,,Zenodo,yes,,yes,,No issues
a000686,andy,2020-08-25,yes,,yes,,yes,,4,3,https://doi.org/10.5281/zenodo.3548898,yes,,https://zenodo.org/record/3548898#.X0RbydMvOqA,yes,,Zenodo,yes,,yes,,No issues
a000686,andy,2020-08-25,yes,,yes,,yes,,4,4,https://doi.org/10.5281/zenodo.3548902,yes,,https://zenodo.org/record/3548902#.X0Rb49MvOqA,yes,,Zenodo,yes,,yes,,No issues
a000696,andy,2020-08-25,yes,,yes,,yes,,1,1,https://citsci.geog.mcgill.ca,yes,,https://citsci.geog.mcgill.ca/,no,,,no,,,,The linked site is the project website
a000698,andy,2020-08-31,yes,,yes,,yes,,1,1,http://catalogue.ceda.ac.uk/uuid/8e6cbb111cfd41a19c92aadcb2d040fd,yes,,https://catalogue.ceda.ac.uk/uuid/8e6cbb111cfd41a19c92aadcb2d040fd,yes,,The CEDA Archive,yes,,yes,,No issues
a000717,andy,2020-08-31,yes,,yes,,yes,,1,1,https://doi.org/10.18113/D3W375,yes,,http://www.datacommons.psu.edu/commonswizard/MetadataDisplay.aspx?Dataset=6171,yes,,datacommons@psu,yes,,partial,Over 100MB of data files,No issues
a000792,andy,2020-08-31,yes,,yes,,yes,,6,1,10.5285/5f3c1a02-d5c4-4faa-9353-e8b68ce2ace2,yes,,https://catalogue.ceh.ac.uk/documents/5f3c1a02-d5c4-4faa-9353-e8b68ce2ace2,yes,,UK Centre for Ecology & Hydrology,yes,,other,Account required to access data,"DOIs only, not URLs; account required to access data"
a000792,andy,2020-08-31,yes,,yes,,yes,,6,2,10.5285/e911196a-b371-47b1-968c-661eb600d83b,yes,,https://catalogue.ceh.ac.uk/documents/e911196a-b371-47b1-968c-661eb600d83b,yes,,UK Centre for Ecology & Hydrology,yes,,other,Account required to access data,"DOIs only, not URLs; account required to access data"
