article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
a000325,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/kzmr5/,yes,NA,https://osf.io/kzmr5/,yes,NA,OSF,yes,NA,yes,NA,"Many of the folders downloaded were empty. However, the results and data file was not empty."
a000336,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/nydsz/,yes,NA,https://osf.io/nydsz/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a000344,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,osf.io/8dv5z,yes,NA,https://osf.io/8dv5z,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a000350,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/5gtyv/,yes,NA,https://osf.io/5gtyv/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a000393,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,http://osf.io/9ge7n,yes,NA,https://osf.io/9ge7n,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a000535,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/rkf9p/,yes,NA,https://osf.io/rkf9p/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a000550,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.23668/psycharchives.2367,yes,NA,https://www.psycharchives.org/handle/20.500.12034/1999,yes,NA,PsychArchives,yes,NA,yes,NA,No problems with this article
a000570,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.7910/DVN/WGWMAV,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WGWMAV,yes,NA,Harvard Dataverse,yes,NA,yes,NA,No problems with this article
a000595,matthew,2020-04-22,no,NA,yes,NA,yes,NA,1,1,https://doi.org/10.17632/42djnzsw8f,yes,NA,https://data.mendeley.com/datasets/42djnzsw8f/2,yes,NA,Mendeley Data,yes,NA,yes,NA,No problems with this article
a000635,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/XU8ZWB,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XU8ZWB,yes,NA,Harvard Dataverse,yes,NA,yes,NA,No problems with this article
a000826,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,osf.io/dc5t8,yes,NA,https://osf.io/dc5t8/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a000911,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/kxdm9/,yes,NA,https://osf.io/kxdm9/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a000950,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/32tsq/,yes,NA,https://osf.io/32tsq/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a000988,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/n8wg4/?view_only=55de4fda913d450899e95c3052dcf79b,yes,NA,https://osf.io/n8wg4/?view_only=55de4fda913d450899e95c3052dcf79b,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a001052,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/735ru/,yes,NA,https://osf.io/735ru/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
